VILLAGE_ID	COUNTRY_ID	VILLAGE_NAME	VILLAGE_NO	VILLAGE_URL	VILLAGE_START_DATETIME	VILLAGE_END_DATETIME	WIN_CAMP_NAME
12	5	256 【ガチ】年末年始5文字で占う人狼神社【誰歓】	256	http://marchocias.xsrv.jp/sow.cgi?vid=256#newsay	2018-12-24 23:30:00.000	2018-12-31 17:40:01.000	人狼陣営
13	5	257 初心者による人狼トライかい	257	http://marchocias.xsrv.jp/sow.cgi?vid=257#newsay	2018-12-18 22:30:00.000	2018-12-21 21:30:00.000	人狼陣営
14	2	G1765 疑心暗鬼の村	1765	http://www.wolfg.x0.com/index.rb?vid=1765	2017-07-05 00:45:02.000	2017-07-09 00:45:02.000	人狼陣営
15	5	258 【誰歓】僻地の村【23日開始予定】	258	http://marchocias.xsrv.jp/sow.cgi?vid=258#newsay	2018-12-23 00:00:00.000	2018-12-30 00:00:17.000	村人陣営
16	5	259 【突発再戦】魔の休日【完全RP村】	259	http://marchocias.xsrv.jp/sow.cgi?vid=259#newsay	2018-12-22 23:33:20.000	2018-12-31 14:25:41.000	村人陣営
17	5	260 【誰歓G】類似特異点 -流星降る街-【FGOガチ村】	260	http://marchocias.xsrv.jp/sow.cgi?vid=260#newsay	2019-01-03 00:00:00.000	2019-01-09 07:00:00.000	人狼陣営
18	2	G1766 呪われた村	1766	http://www.wolfg.x0.com/index.rb?vid=1766	2017-07-06 22:45:02.000	2017-07-14 22:45:02.000	村人陣営
19	5	261 【誰歓】2019年人狼初め村【1月4日5時開始予定】	261	http://marchocias.xsrv.jp/sow.cgi?vid=261#newsay	2019-01-04 05:00:00.000	2019-01-12 05:00:00.000	人狼陣営
20	5	262 【身内】人狼サークルCOZ	262	http://marchocias.xsrv.jp/sow.cgi?vid=262#newsay	2018-12-31 23:00:00.000	2019-01-03 23:00:00.000	人狼陣営
21	2	G1767 新緑の村	1767	http://www.wolfg.x0.com/index.rb?vid=1767	2017-07-09 01:45:01.000	2017-07-13 01:45:01.000	人狼陣営
22	5	263 【誰歓G＋聖】お正月をCumorieチップで祝う村	263	http://marchocias.xsrv.jp/sow.cgi?vid=263#newsay	2019-01-04 05:00:00.000	2019-01-12 05:00:00.000	人狼陣営
23	2	G1768 荒地の村	1768	http://www.wolfg.x0.com/index.rb?vid=1768	2017-07-09 23:45:01.000	2017-07-12 23:45:01.000	村人陣営
24	5	265 【誰歓1発言G】田舎町の成人式	265	http://marchocias.xsrv.jp/sow.cgi?vid=265#newsay	2019-01-18 06:00:00.000	2019-01-22 06:03:42.000	村人陣営
25	2	G1769 残された村	1769	http://www.wolfg.x0.com/index.rb?vid=1769	2017-07-11 07:00:04.000	2017-07-16 07:00:04.000	人狼陣営
26	5	266 【誰歓Ｇ編成】帯に短し襷に長し【7時更新200pt】	266	http://marchocias.xsrv.jp/sow.cgi?vid=266#newsay	2019-01-16 06:00:00.000	2019-01-24 07:00:00.000	人狼陣営
27	5	267 【俺この戦いが終わったら…】雪の降る身内5発言村	267	http://marchocias.xsrv.jp/sow.cgi?vid=267#newsay	2019-01-14 23:00:00.000	2019-01-22 12:50:47.000	村人陣営
28	2	G1770 小さな村	1770	http://www.wolfg.x0.com/index.rb?vid=1770	2017-07-15 00:15:01.000	2017-07-20 00:15:01.000	村人陣営
29	5	268 【誰歓ガチ/特殊村】確実に村人陣営な村5【聖＋Ｃ】	268	http://marchocias.xsrv.jp/sow.cgi?vid=268#newsay	2019-01-18 23:00:00.000	2019-01-23 08:10:09.000	村人陣営
30	2	G1771 極寒の村	1771	http://www.wolfg.x0.com/index.rb?vid=1771	2017-07-16 22:15:02.000	2017-07-21 22:15:02.000	村人陣営
31	2	G1772 見捨てられた村	1772	http://www.wolfg.x0.com/index.rb?vid=1772	2017-07-19 01:15:02.000	2017-07-25 01:15:02.000	村人陣営
32	2	G1773 希望の村	1773	http://www.wolfg.x0.com/index.rb?vid=1773	2017-07-20 23:15:01.000	2017-07-28 23:15:01.000	村人陣営
33	2	G1774 裏切りの村	1774	http://www.wolfg.x0.com/index.rb?vid=1774	2017-07-22 21:45:04.000	2017-07-28 21:45:04.000	村人陣営
34	2	G1775 沈黙の村	1775	http://www.wolfg.x0.com/index.rb?vid=1775	2017-07-27 00:45:01.000	2017-08-01 00:45:01.000	村人陣営
35	2	G1776 雨の止まぬ村	1776	http://www.wolfg.x0.com/index.rb?vid=1776	2017-07-28 22:45:01.000	2017-08-02 22:45:01.000	人狼陣営
36	2	G1777 辺境の村	1777	http://www.wolfg.x0.com/index.rb?vid=1777	2017-07-31 01:45:01.000	2017-08-04 01:45:01.000	村人陣営
37	2	G1778 忘れられた村	1778	http://www.wolfg.x0.com/index.rb?vid=1778	2017-07-31 23:45:01.000	2017-08-04 23:45:01.000	村人陣営
38	2	G1779 谷底の村	1779	http://www.wolfg.x0.com/index.rb?vid=1779	2017-08-02 07:00:01.000	2017-08-10 07:00:01.000	人狼陣営
39	2	G1780 平凡な村	1780	http://www.wolfg.x0.com/index.rb?vid=1780	2017-08-05 00:15:01.000	2017-08-10 00:15:01.000	人狼陣営
40	2	G1781 星狩りの村	1781	http://www.wolfg.x0.com/index.rb?vid=1781	2017-08-05 22:15:01.000	2017-08-10 22:15:01.000	村人陣営
41	2	G1782 日の差さぬ村	1782	http://www.wolfg.x0.com/index.rb?vid=1782	2017-08-07 01:15:01.000	2017-08-13 01:15:01.000	村人陣営
42	2	G1783 隠された村	1783	http://www.wolfg.x0.com/index.rb?vid=1783	2017-08-08 23:15:02.000	2017-08-13 23:15:02.000	村人陣営
43	2	G1784 日の沈まぬ村	1784	http://www.wolfg.x0.com/index.rb?vid=1784	2017-08-10 21:45:01.000	2017-08-14 21:45:01.000	人狼陣営
44	2	G1785 消え行く村	1785	http://www.wolfg.x0.com/index.rb?vid=1785	2017-08-12 00:45:01.000	2017-08-20 00:45:01.000	人狼陣営
45	2	G1786 怪しげな村	1786	http://www.wolfg.x0.com/index.rb?vid=1786	2017-08-15 22:45:01.000	2017-08-20 22:45:01.000	人狼陣営
46	2	G1787 山影の村	1787	http://www.wolfg.x0.com/index.rb?vid=1787	2017-08-18 01:45:02.000	2017-08-24 01:45:02.000	村人陣営
47	2	G1788 平和な村	1788	http://www.wolfg.x0.com/index.rb?vid=1788	2017-08-22 23:45:01.000	2017-08-27 23:45:01.000	村人陣営
48	2	G1789 嘘つきの村	1789	http://www.wolfg.x0.com/index.rb?vid=1789	2017-08-24 07:00:02.000	2017-08-28 07:00:02.000	村人陣営
49	2	G1790 悲しみの村	1790	http://www.wolfg.x0.com/index.rb?vid=1790	2017-08-29 00:15:01.000	2017-09-02 00:15:01.000	村人陣営
50	2	G1791 恐ろしい村	1791	http://www.wolfg.x0.com/index.rb?vid=1791	2017-09-01 22:15:02.000	2017-09-07 22:15:02.000	人狼陣営
51	2	G1792 盆地の村	1792	http://www.wolfg.x0.com/index.rb?vid=1792	2017-09-05 01:15:01.000	2017-09-09 01:15:01.000	村人陣営
52	2	G1793 幻の村	1793	http://www.wolfg.x0.com/index.rb?vid=1793	2017-09-06 23:15:01.000	2017-09-13 23:15:01.000	村人陣営
53	2	G1794 謀略の村	1794	http://www.wolfg.x0.com/index.rb?vid=1794	2017-09-12 21:45:01.000	2017-09-17 21:45:01.000	人狼陣営
54	2	G1795 最果ての村	1795	http://www.wolfg.x0.com/index.rb?vid=1795	2017-09-15 00:45:02.000	2017-09-18 00:45:02.000	村人陣営
55	2	G1796 封印の村	1796	http://www.wolfg.x0.com/index.rb?vid=1796	2017-09-18 22:45:01.000	2017-09-26 22:45:01.000	人狼陣営
56	2	G1797 海辺の村	1797	http://www.wolfg.x0.com/index.rb?vid=1797	2017-09-22 01:45:01.000	2017-09-25 01:45:01.000	村人陣営
57	2	G1798 開拓者の村	1798	http://www.wolfg.x0.com/index.rb?vid=1798	2017-09-25 23:45:01.000	2017-10-01 23:45:01.000	人狼陣営
58	2	G1799 断崖の村	1799	http://www.wolfg.x0.com/index.rb?vid=1799	2017-09-28 07:00:03.000	2017-10-06 07:00:03.000	人狼陣営
59	2	G1800 出会いの村	1800	http://www.wolfg.x0.com/index.rb?vid=1800	2017-09-29 00:15:01.000	2017-10-07 00:15:01.000	村人陣営
60	2	G1801 ふもとの村	1801	http://www.wolfg.x0.com/index.rb?vid=1801	2017-10-02 22:15:01.000	2017-10-10 22:15:01.000	人狼陣営
61	2	G1802 峠の村	1802	http://www.wolfg.x0.com/index.rb?vid=1802	2017-10-08 01:15:01.000	2017-10-16 01:15:01.000	村人陣営
62	2	G1803 血塗られた村	1803	http://www.wolfg.x0.com/index.rb?vid=1803	2017-10-11 23:15:01.000	2017-10-17 23:15:01.000	村人陣営
63	2	G1804 僻地の村	1804	http://www.wolfg.x0.com/index.rb?vid=1804	2017-10-12 21:45:01.000	2017-10-16 21:45:01.000	人狼陣営
64	2	G1805 安らぎの村	1805	http://www.wolfg.x0.com/index.rb?vid=1805	2017-10-17 00:45:01.000	2017-10-25 00:45:01.000	人狼陣営
65	2	G1806 最後の村	1806	http://www.wolfg.x0.com/index.rb?vid=1806	2017-10-20 22:45:03.000	2017-10-25 22:45:03.000	村人陣営
66	2	G1807 疑心暗鬼の村	1807	http://www.wolfg.x0.com/index.rb?vid=1807	2017-10-27 01:45:01.000	2017-10-31 01:45:01.000	人狼陣営
67	2	G1808 呪われた村	1808	http://www.wolfg.x0.com/index.rb?vid=1808	2017-10-28 23:45:01.000	2017-11-06 23:45:01.000	村人陣営
68	2	G1809 新緑の村	1809	http://www.wolfg.x0.com/index.rb?vid=1809	2017-11-01 07:00:01.000	2017-11-05 07:00:01.000	村人陣営
69	2	G1810 荒地の村	1810	http://www.wolfg.x0.com/index.rb?vid=1810	2017-11-02 00:15:01.000	2017-11-10 00:15:01.000	人狼陣営
70	2	G1811 残された村	1811	http://www.wolfg.x0.com/index.rb?vid=1811	2017-11-07 22:15:01.000	2017-11-15 22:15:01.000	人狼陣営
71	2	G1812 小さな村	1812	http://www.wolfg.x0.com/index.rb?vid=1812	2017-11-11 01:15:01.000	2017-11-18 01:15:01.000	人狼陣営
72	2	G1813 極寒の村	1813	http://www.wolfg.x0.com/index.rb?vid=1813	2017-11-12 23:15:01.000	2017-11-18 23:15:01.000	村人陣営
73	2	G1814 見捨てられた村	1814	http://www.wolfg.x0.com/index.rb?vid=1814	2017-11-17 21:45:01.000	2017-11-23 21:45:01.000	人狼陣営
74	2	G1815 希望の村	1815	http://www.wolfg.x0.com/index.rb?vid=1815	2017-11-19 00:45:01.000	2017-11-27 00:45:01.000	村人陣営
75	2	G1816 裏切りの村	1816	http://www.wolfg.x0.com/index.rb?vid=1816	2017-11-22 22:45:01.000	2017-11-30 22:45:01.000	人狼陣営
76	2	G1817 沈黙の村	1817	http://www.wolfg.x0.com/index.rb?vid=1817	2017-11-26 01:45:01.000	2017-12-01 01:45:01.000	村人陣営
77	2	G1818 雨の止まぬ村	1818	http://www.wolfg.x0.com/index.rb?vid=1818	2017-11-27 23:45:04.000	2017-12-02 23:45:04.000	村人陣営
78	2	G1819 辺境の村	1819	http://www.wolfg.x0.com/index.rb?vid=1819	2017-11-30 07:00:01.000	2017-12-05 07:00:01.000	人狼陣営
79	2	G1820 忘れられた村	1820	http://www.wolfg.x0.com/index.rb?vid=1820	2017-12-03 00:15:01.000	2017-12-11 00:15:01.000	村人陣営
80	2	G1821 谷底の村	1821	http://www.wolfg.x0.com/index.rb?vid=1821	2017-12-03 22:15:03.000	2017-12-08 22:15:03.000	人狼陣営
81	2	G1822 平凡な村	1822	http://www.wolfg.x0.com/index.rb?vid=1822	2017-12-08 01:15:06.000	2017-12-12 01:15:06.000	村人陣営
82	2	G1823 星狩りの村	1823	http://www.wolfg.x0.com/index.rb?vid=1823	2017-12-10 23:15:01.000	2017-12-15 23:15:01.000	村人陣営
83	2	G1824 日の差さぬ村	1824	http://www.wolfg.x0.com/index.rb?vid=1824	2017-12-13 21:45:01.000	2017-12-20 21:45:01.000	人狼陣営
84	2	G1825 隠された村	1825	http://www.wolfg.x0.com/index.rb?vid=1825	2017-12-16 00:45:01.000	2017-12-23 00:45:01.000	人狼陣営
85	2	G1826 日の沈まぬ村	1826	http://www.wolfg.x0.com/index.rb?vid=1826	2017-12-17 22:45:01.000	2017-12-21 22:45:01.000	村人陣営
86	2	G1827 消え行く村	1827	http://www.wolfg.x0.com/index.rb?vid=1827	2017-12-20 01:45:06.000	2017-12-26 01:45:06.000	村人陣営
87	2	G1828 怪しげな村	1828	http://www.wolfg.x0.com/index.rb?vid=1828	2017-12-20 23:45:02.000	2017-12-24 23:45:02.000	人狼陣営
88	2	G1829 山影の村	1829	http://www.wolfg.x0.com/index.rb?vid=1829	2017-12-22 07:00:01.000	2017-12-27 07:00:01.000	村人陣営
89	2	G1830 平和な村	1830	http://www.wolfg.x0.com/index.rb?vid=1830	2017-12-25 00:15:02.000	2017-12-30 00:15:02.000	村人陣営
90	2	G1831 嘘つきの村	1831	http://www.wolfg.x0.com/index.rb?vid=1831	2017-12-26 22:15:02.000	2018-01-01 22:15:02.000	人狼陣営
91	2	G1832 悲しみの村	1832	http://www.wolfg.x0.com/index.rb?vid=1832	2017-12-30 01:15:01.000	2018-01-06 01:15:01.000	人狼陣営
92	2	G1833 恐ろしい村	1833	http://www.wolfg.x0.com/index.rb?vid=1833	2017-12-31 23:15:01.000	2018-01-04 23:15:01.000	村人陣営
93	2	G1834 盆地の村	1834	http://www.wolfg.x0.com/index.rb?vid=1834	2018-01-03 21:45:01.000	2018-01-12 21:45:01.000	人狼陣営
94	2	G1835 幻の村	1835	http://www.wolfg.x0.com/index.rb?vid=1835	2018-01-08 00:45:01.000	2018-01-14 00:45:01.000	人狼陣営
95	2	G1836 謀略の村	1836	http://www.wolfg.x0.com/index.rb?vid=1836	2018-01-09 22:45:02.000	2018-01-14 22:45:02.000	人狼陣営
96	2	G1837 最果ての村	1837	http://www.wolfg.x0.com/index.rb?vid=1837	2018-01-14 01:45:03.000	2018-01-20 01:45:03.000	人狼陣営
97	2	G1838 封印の村	1838	http://www.wolfg.x0.com/index.rb?vid=1838	2018-01-14 23:45:01.000	2018-01-21 23:45:01.000	人狼陣営
98	2	G1839 海辺の村	1839	http://www.wolfg.x0.com/index.rb?vid=1839	2018-01-16 07:00:04.000	2018-01-21 07:00:04.000	村人陣営
99	2	G1840 開拓者の村	1840	http://www.wolfg.x0.com/index.rb?vid=1840	2018-01-22 00:15:01.000	2018-01-29 00:15:01.000	人狼陣営
100	2	G1841 断崖の村	1841	http://www.wolfg.x0.com/index.rb?vid=1841	2018-01-22 22:15:01.000	2018-01-29 22:15:01.000	人狼陣営
101	2	G1842 出会いの村	1842	http://www.wolfg.x0.com/index.rb?vid=1842	2018-01-24 01:15:01.000	2018-01-30 01:15:01.000	人狼陣営
102	2	G1843 ふもとの村	1843	http://www.wolfg.x0.com/index.rb?vid=1843	2018-01-27 23:15:01.000	2018-02-03 23:15:01.000	人狼陣営
103	2	G1844 峠の村	1844	http://www.wolfg.x0.com/index.rb?vid=1844	2018-01-30 21:45:01.000	2018-02-04 21:45:01.000	村人陣営
104	2	G1845 血塗られた村	1845	http://www.wolfg.x0.com/index.rb?vid=1845	2018-02-01 00:45:02.000	2018-02-07 00:45:02.000	村人陣営
105	2	G1846 僻地の村	1846	http://www.wolfg.x0.com/index.rb?vid=1846	2018-02-04 22:45:01.000	2018-02-11 22:45:01.000	村人陣営
106	2	G1847 安らぎの村	1847	http://www.wolfg.x0.com/index.rb?vid=1847	2018-02-06 01:45:02.000	2018-02-11 01:45:02.000	村人陣営
107	2	G1848 最後の村	1848	http://www.wolfg.x0.com/index.rb?vid=1848	2018-02-07 23:45:01.000	2018-02-15 23:45:01.000	人狼陣営
108	2	G1849 疑心暗鬼の村	1849	http://www.wolfg.x0.com/index.rb?vid=1849	2018-02-09 07:00:08.000	2018-02-13 07:00:08.000	村人陣営
109	2	G1850 呪われた村	1850	http://www.wolfg.x0.com/index.rb?vid=1850	2018-02-11 00:15:01.000	2018-02-17 00:15:01.000	村人陣営
110	2	G1851 新緑の村	1851	http://www.wolfg.x0.com/index.rb?vid=1851	2018-02-12 22:15:01.000	2018-02-17 22:15:01.000	村人陣営
111	2	G1852 荒地の村	1852	http://www.wolfg.x0.com/index.rb?vid=1852	2018-02-15 01:15:02.000	2018-02-19 01:15:02.000	村人陣営
112	2	G1853 残された村	1853	http://www.wolfg.x0.com/index.rb?vid=1853	2018-02-16 23:15:01.000	2018-02-21 23:15:01.000	村人陣営
113	2	G1854 小さな村	1854	http://www.wolfg.x0.com/index.rb?vid=1854	2018-02-21 21:45:01.000	2018-02-25 21:45:01.000	村人陣営
114	2	G1855 極寒の村	1855	http://www.wolfg.x0.com/index.rb?vid=1855	2018-02-22 00:45:01.000	2018-02-27 00:45:01.000	人狼陣営
115	2	G1856 見捨てられた村	1856	http://www.wolfg.x0.com/index.rb?vid=1856	2018-02-23 22:45:01.000	2018-03-01 22:45:01.000	村人陣営
116	2	G1857 希望の村	1857	http://www.wolfg.x0.com/index.rb?vid=1857	2018-02-27 01:45:01.000	2018-03-07 01:45:01.000	人狼陣営
117	2	G1858 裏切りの村	1858	http://www.wolfg.x0.com/index.rb?vid=1858	2018-03-01 23:45:01.000	2018-03-07 23:45:01.000	村人陣営
118	2	G1859 沈黙の村	1859	http://www.wolfg.x0.com/index.rb?vid=1859	2018-03-03 07:00:03.000	2018-03-10 07:00:03.000	村人陣営
119	2	G1860 雨の止まぬ村	1860	http://www.wolfg.x0.com/index.rb?vid=1860	2018-03-04 00:15:01.000	2018-03-09 00:15:01.000	村人陣営
120	2	G1861 辺境の村	1861	http://www.wolfg.x0.com/index.rb?vid=1861	2018-03-06 22:15:01.000	2018-03-13 22:15:01.000	人狼陣営
121	2	G1862 忘れられた村	1862	http://www.wolfg.x0.com/index.rb?vid=1862	2018-03-09 01:15:07.000	2018-03-15 01:15:07.000	村人陣営
122	2	G1863 谷底の村	1863	http://www.wolfg.x0.com/index.rb?vid=1863	2018-03-09 23:15:02.000	2018-03-17 23:15:02.000	村人陣営
123	2	G1864 平凡な村	1864	http://www.wolfg.x0.com/index.rb?vid=1864	2018-03-13 21:45:01.000	2018-03-17 21:45:01.000	村人陣営
124	2	G1865 星狩りの村	1865	http://www.wolfg.x0.com/index.rb?vid=1865	2018-03-16 00:45:02.000	2018-03-21 00:45:02.000	村人陣営
125	2	G1866 日の差さぬ村	1866	http://www.wolfg.x0.com/index.rb?vid=1866	2018-03-18 22:45:01.000	2018-03-25 22:45:01.000	人狼陣営
126	2	G1867 隠された村	1867	http://www.wolfg.x0.com/index.rb?vid=1867	2018-03-21 01:45:02.000	2018-03-27 01:45:02.000	村人陣営
127	2	G1868 日の沈まぬ村	1868	http://www.wolfg.x0.com/index.rb?vid=1868	2018-03-22 23:45:02.000	2018-03-27 23:45:02.000	人狼陣営
128	2	G1869 消え行く村	1869	http://www.wolfg.x0.com/index.rb?vid=1869	2018-03-25 07:00:03.000	2018-03-29 07:00:03.000	村人陣営
129	2	G1870 怪しげな村	1870	http://www.wolfg.x0.com/index.rb?vid=1870	2018-03-27 00:15:01.000	2018-04-02 00:15:01.000	村人陣営
130	2	G1871 山影の村	1871	http://www.wolfg.x0.com/index.rb?vid=1871	2018-03-27 22:15:01.000	2018-04-03 22:15:01.000	人狼陣営
131	2	G1872 平和な村	1872	http://www.wolfg.x0.com/index.rb?vid=1872	2018-03-30 01:15:01.000	2018-04-05 01:15:01.000	人狼陣営
132	2	G1873 嘘つきの村	1873	http://www.wolfg.x0.com/index.rb?vid=1873	2018-03-31 23:15:01.000	2018-04-06 23:15:01.000	人狼陣営
133	2	G1874 悲しみの村	1874	http://www.wolfg.x0.com/index.rb?vid=1874	2018-04-04 21:45:02.000	2018-04-09 21:45:02.000	人狼陣営
134	2	G1875 恐ろしい村	1875	http://www.wolfg.x0.com/index.rb?vid=1875	2018-04-06 00:45:02.000	2018-04-12 00:45:02.000	村人陣営
135	2	G1876 盆地の村	1876	http://www.wolfg.x0.com/index.rb?vid=1876	2018-04-09 22:45:01.000	2018-04-16 22:45:01.000	村人陣営
136	2	G1877 幻の村	1877	http://www.wolfg.x0.com/index.rb?vid=1877	2018-04-13 01:45:03.000	2018-04-20 01:45:03.000	人狼陣営
137	2	G1878 謀略の村	1878	http://www.wolfg.x0.com/index.rb?vid=1878	2018-04-17 23:45:01.000	2018-04-25 23:45:01.000	人狼陣営
138	2	G1879 最果ての村	1879	http://www.wolfg.x0.com/index.rb?vid=1879	2018-04-20 07:00:01.000	2018-04-24 07:00:01.000	村人陣営
139	2	G1880 封印の村	1880	http://www.wolfg.x0.com/index.rb?vid=1880	2018-04-23 00:15:02.000	2018-04-28 00:15:02.000	村人陣営
140	2	G1881 海辺の村	1881	http://www.wolfg.x0.com/index.rb?vid=1881	2018-04-24 22:15:02.000	2018-05-01 22:15:02.000	村人陣営
141	2	G1882 開拓者の村	1882	http://www.wolfg.x0.com/index.rb?vid=1882	2018-04-27 01:15:01.000	2018-05-02 01:15:01.000	村人陣営
142	2	G1883 断崖の村	1883	http://www.wolfg.x0.com/index.rb?vid=1883	2018-04-27 23:15:01.000	2018-05-05 23:15:01.000	村人陣営
143	2	G1884 出会いの村	1884	http://www.wolfg.x0.com/index.rb?vid=1884	2018-04-28 21:45:01.000	2018-05-02 21:45:01.000	村人陣営
144	2	G1885 ふもとの村	1885	http://www.wolfg.x0.com/index.rb?vid=1885	2018-05-02 00:45:01.000	2018-05-07 00:45:01.000	村人陣営
145	2	G1886 峠の村	1886	http://www.wolfg.x0.com/index.rb?vid=1886	2018-05-02 22:45:01.000	2018-05-09 22:45:01.000	村人陣営
146	2	G1887 血塗られた村	1887	http://www.wolfg.x0.com/index.rb?vid=1887	2018-05-06 01:45:01.000	2018-05-08 01:45:01.000	村人陣営
147	2	G1888 僻地の村	1888	http://www.wolfg.x0.com/index.rb?vid=1888	2018-05-07 23:45:04.000	2018-05-10 23:45:04.000	村人陣営
148	2	G1889 安らぎの村	1889	http://www.wolfg.x0.com/index.rb?vid=1889	2018-05-10 07:00:01.000	2018-05-14 07:00:01.000	村人陣営
149	2	G1890 最後の村	1890	http://www.wolfg.x0.com/index.rb?vid=1890	2018-05-11 00:15:01.000	2018-05-18 00:15:01.000	村人陣営
150	2	G1891 疑心暗鬼の村	1891	http://www.wolfg.x0.com/index.rb?vid=1891	2018-05-14 22:15:02.000	2018-05-21 22:15:02.000	人狼陣営
151	2	G1892 呪われた村	1892	http://www.wolfg.x0.com/index.rb?vid=1892	2018-05-16 01:15:01.000	2018-05-23 01:15:01.000	人狼陣営
152	2	G1893 新緑の村	1893	http://www.wolfg.x0.com/index.rb?vid=1893	2018-05-17 23:15:01.000	2018-05-24 23:15:01.000	人狼陣営
153	2	G1894 荒地の村	1894	http://www.wolfg.x0.com/index.rb?vid=1894	2018-05-22 21:45:01.000	2018-05-28 21:45:01.000	村人陣営
154	2	G1895 残された村	1895	http://www.wolfg.x0.com/index.rb?vid=1895	2018-05-25 00:45:01.000	2018-05-28 00:45:01.000	村人陣営
155	2	G1896 小さな村	1896	http://www.wolfg.x0.com/index.rb?vid=1896	2018-05-26 22:45:03.000	2018-05-31 22:45:03.000	人狼陣営
156	2	G1897 極寒の村	1897	http://www.wolfg.x0.com/index.rb?vid=1897	2018-06-01 01:45:01.000	2018-06-07 01:45:01.000	人狼陣営
157	2	G1898 見捨てられた村	1898	http://www.wolfg.x0.com/index.rb?vid=1898	2018-06-02 23:45:01.000	2018-06-07 23:45:01.000	人狼陣営
158	2	G1899 希望の村	1899	http://www.wolfg.x0.com/index.rb?vid=1899	2018-06-06 07:00:03.000	2018-06-12 07:00:03.000	村人陣営
159	2	G1900 裏切りの村	1900	http://www.wolfg.x0.com/index.rb?vid=1900	2018-06-08 00:15:01.000	2018-06-15 00:15:01.000	人狼陣営
160	2	G1901 沈黙の村	1901	http://www.wolfg.x0.com/index.rb?vid=1901	2018-06-09 22:15:01.000	2018-06-12 22:15:01.000	村人陣営
161	2	G1902 雨の止まぬ村	1902	http://www.wolfg.x0.com/index.rb?vid=1902	2018-06-14 01:15:02.000	2018-06-19 01:15:02.000	人狼陣営
162	2	G1903 辺境の村	1903	http://www.wolfg.x0.com/index.rb?vid=1903	2018-06-14 23:15:01.000	2018-06-16 23:15:01.000	村人陣営
163	2	G1904 忘れられた村	1904	http://www.wolfg.x0.com/index.rb?vid=1904	2018-06-18 21:45:03.000	2018-06-24 21:45:03.000	村人陣営
164	2	G1905 谷底の村	1905	http://www.wolfg.x0.com/index.rb?vid=1905	2018-06-22 00:45:01.000	2018-06-26 00:45:01.000	村人陣営
165	2	G1906 平凡な村	1906	http://www.wolfg.x0.com/index.rb?vid=1906	2018-06-26 22:45:01.000	2018-07-02 22:45:01.000	村人陣営
166	2	G1907 星狩りの村	1907	http://www.wolfg.x0.com/index.rb?vid=1907	2018-06-28 01:45:09.000	2018-07-03 01:45:09.000	村人陣営
167	2	G1908 日の差さぬ村	1908	http://www.wolfg.x0.com/index.rb?vid=1908	2018-07-02 23:45:13.000	2018-07-08 23:45:13.000	村人陣営
168	2	G1909 隠された村	1909	http://www.wolfg.x0.com/index.rb?vid=1909	2018-07-04 07:00:08.000	2018-07-08 07:00:08.000	村人陣営
169	2	G1910 日の沈まぬ村	1910	http://www.wolfg.x0.com/index.rb?vid=1910	2018-07-08 00:15:01.000	2018-07-13 00:15:01.000	人狼陣営
170	2	G1911 消え行く村	1911	http://www.wolfg.x0.com/index.rb?vid=1911	2018-07-10 22:15:01.000	2018-07-13 22:15:01.000	村人陣営
